Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Poster,imdbRating,imdbVotes,imdbID,Type,saturation,brightness,entropy,sharpness,contrast,colorfulness,hex_0,hex_1,hex_2,hex_3,hex_4
La donation,2009,G,01 Jan 2010,96 min,Drama,Bernard Émond,Bernard Émond,https://m.media-amazon.com/images/M/MV5BZTk3OTk0Y2MtNjY1NC00ZWFkLTk5YzUtY2RjZDU3YjEwNjAyXkEyXkFqcGdeQXVyNjEzMTg5Njk@._V1_SX300.jpg,7.0,229,tt1345468,movie,64.85978731537358,51.305281396675,3.988643286593161,1806.6391216059678,80.36274685180685,77.20670345254484,#f4e7c0,#6b3e2b,#c47e32,#e8bb5a,#091617
The Great Buddha+,2017,N/A,15 Feb 2018,102 min,"Comedy, Crime, Drama",Hsin-yao Huang,Hsin-yao Huang,https://m.media-amazon.com/images/M/MV5BMTYwMjIzZTItOTAxYy00NmRmLTlhMjgtZTE4NTAwMzdlNTA5XkEyXkFqcGdeQXVyMjg0MTI5NzQ@._V1_SX300.jpg,7.5,"4,138",tt7010412,movie,76.30786780120853,64.65834258231594,4.162137382075472,2428.768355680588,45.970574934919725,91.28239980791932,#bb6939,#6d371c,#301c10,#e3c189,#be4916
A Royal Winter,2017,TV-G,14 Jan 2017,84 min,"Drama, Family, Fantasy",Ernie Barbarash,"Ernie Barbarash, Mark Amato",https://m.media-amazon.com/images/M/MV5BMDk0MDJiYTgtNjQyNy00MzRkLWEyNTUtYTA0OGVmNGU2ZWI1L2ltYWdlXkEyXkFqcGdeQXVyMzI4MzkxNTY@._V1_SX300.jpg,6.4,"3,041",tt6387232,movie,21.775538126361656,60.03281336238199,4.316743981481482,4454.105658919287,85.33678705297838,34.355746886636545,#6a96bf,#7c665b,#c5aca3,#f6f1f0,#261e1f
While We're Young,2014,R,17 Apr 2015,97 min,"Comedy, Drama, Mystery",Noah Baumbach,"Noah Baumbach, Henrik Ibsen, Wallace Shawn",https://m.media-amazon.com/images/M/MV5BMTc4MDEzMTA5MF5BMl5BanBnXkFtZTgwODA5MTM0NDE@._V1_SX300.jpg,6.3,"50,404",tt1791682,movie,14.954223227752639,78.24245014245014,2.757126290954416,3490.4900510433667,82.61756408068234,38.266687082457985,#f8eb17,#231213,#ada3a2,#6c524f,#fbfbfb
"Friends, Foes & Fireworks",2018,PG-13,30 Apr 2018,75 min,Drama,"Sarah Jayne, Ivan Malekin",N/A,https://m.media-amazon.com/images/M/MV5BOTdmMjU0NTQtMDYzOC00ZDIyLTliNmQtYmQ5MTgwODljZWRiXkEyXkFqcGdeQXVyMjA1MzM2MjY@._V1_SX300.jpg,5.5,60,tt6402536,movie,40.69045751633987,66.81622090034516,4.510493913857678,2650.353829638513,73.44770024712192,44.507530580606634,#6d4e33,#160705,#f2e3d4,#b08d62,#d5ba8f
The Visit,2015,Not Rated,09 Oct 2015,83 min,Documentary,Michael Madsen,Michael Madsen,https://m.media-amazon.com/images/M/MV5BZDg2YTU4ZGEtNjI3Yi00N2JkLWE3Y2QtZjhkOTk4ZDZlNTY2XkEyXkFqcGdeQXVyNjM0OTIxMDY@._V1_SX300.jpg,5.9,732,tt3833746,movie,41.61940978411567,23.961802032390267,4.228239607614608,663.5470692752641,31.74662943177192,27.436088045995213,#628fba,#4c6680,#324558,#202c37,#11161c
An Apology to Elephants,2013,TV-PG,12 Apr 2013,40 min,"Documentary, Short, Drama",Amy Schatz,Jane Wagner,https://m.media-amazon.com/images/M/MV5BMTUyNjQ0NTk2M15BMl5BanBnXkFtZTgwODk5NzA2MDE@._V1_SX300.jpg,8.0,527,tt2836524,movie,62.91590015105966,87.13427558666487,2.8714068459191457,2066.6089907843684,64.10241115701811,88.60995939921871,#edf0c4,#180f04,#1173bc,#7b643e,#fce961
Frankenweenie,2012,PG,05 Oct 2012,87 min,"Animation, Comedy, Drama",Tim Burton,"Leonard Ripps, Tim Burton, John August",https://m.media-amazon.com/images/M/MV5BMjIxODY3MjEwNV5BMl5BanBnXkFtZTcwOTMzNjc4Nw@@._V1_SX300.jpg,6.9,"106,692",tt1142977,movie,17.58207828449732,37.71486524197694,4.623698970037453,2231.2824718290904,69.93117098141548,18.77958126534022,#909585,#d9d7d8,#363230,#5f5b57,#0f0c0b
nWo: The Revolution,2012,N/A,06 Nov 2012,63 min,"Documentary, Action, Sport",Kevin Dunn,N/A,https://m.media-amazon.com/images/M/MV5BOTA2NjYzYWItMTM5ZS00MzcwLWFlNjMtNWYzMzZjZDBjYzc3XkEyXkFqcGdeQXVyMjc4NzI0NzU@._V1_SX300.jpg,7.3,239,tt2398018,movie,14.842183701177733,16.242963594455496,2.318035929951691,784.6133398911811,70.54021853907878,6.071799182386546,#5b5c62,#d6d7e5,#232429,#adadb7,#020204
Relentless,2018,TV-MA,06 Feb 2018,95 min,Thriller,Lance Tracy,Lance Tracy,https://m.media-amazon.com/images/M/MV5BMjExMTM2NDQ3OV5BMl5BanBnXkFtZTgwMDQyNTQwNzE@._V1_SX300.jpg,4.5,437,tt3486210,movie,54.836065477241945,51.852717423305656,5.1332789039039035,3153.685104613566,75.32927632912991,53.025670338122055,#e2e25b,#ccdff5,#7997cc,#3c5589,#0c172d
I Am Not a Witch,2017,N/A,07 Sep 2018,93 min,"Comedy, Drama",Rungano Nyoni,Rungano Nyoni,https://m.media-amazon.com/images/M/MV5BMmZiMmEzMzAtYzhiZi00NjMwLWJmNzMtMjRkNTI2YTM5N2FiXkEyXkFqcGdeQXVyNTkyMjQwNw@@._V1_SX300.jpg,6.9,"3,757",tt6213284,movie,70.71904257198375,68.98323617735383,4.502392548798799,4282.197791368846,68.58874646378884,121.29788258889457,#debf95,#64695d,#ac3127,#231b16,#ebc120
Kids in Love,2016,Not Rated,26 Aug 2016,87 min,"Drama, Romance",Chris Foggin,"Sebastian De Souza, Preston Thompson",https://m.media-amazon.com/images/M/MV5BNjJjNTk5MTAtNzkwMy00ZjJhLWE0OGQtZjU5YzkyZmViNmVhXkEyXkFqcGdeQXVyNTA3MTU2MjE@._V1_SX300.jpg,5.2,"1,824",tt3215826,movie,45.36746656489035,73.975643655678,4.347700729927007,4757.956148923,77.73268585199163,62.949456474151376,#714132,#aa856a,#22181e,#eebe72,#fadfaa
Extracurricular Activities,2019,Not Rated,04 Jun 2019,86 min,"Comedy, Mystery, Thriller",Jay Lowi,Bob Sáenz,https://m.media-amazon.com/images/M/MV5BNGMyMTczZjYtOTdmOC00ZDJjLWIyOTMtZDM5NDQyY2I5Zjg1XkEyXkFqcGdeQXVyNzQyMTI5NzU@._V1_SX300.jpg,6.2,"1,353",tt6012446,movie,23.806018881626724,84.29278721859114,2.986928472222222,4010.468044395062,71.54926330751199,58.36083866004883,#753851,#28122b,#ddae92,#ce5b4a,#f2f0e3
Johnny Cash at Folsom Prison,2008,N/A,18 Oct 2008,90 min,Documentary,Bestor Cram,Michael Streissguth,https://m.media-amazon.com/images/M/MV5BNzgyNThkNmYtMGFmMS00M2JjLTljZWYtMzdjMDhjZGE0YWJiXkEyXkFqcGdeQXVyNjc1MzEwNTU@._V1_SX300.jpg,6.9,230,tt1334247,movie,47.55027674733557,25.770014131778836,3.259243853228228,4675.484284004218,60.19290320941333,50.97432467064155,#efe5df,#b58576,#97443c,#4b1918,#0a0303
Nowhere Boys: The Book of Shadows,2016,N/A,01 Jan 2016,80 min,"Drama, Fantasy, Sci-Fi",David Caesar,"Tony Ayres, Rhys Graham, Craig Irvin",https://m.media-amazon.com/images/M/MV5BMTAxMjk4NTUyNjheQTJeQWpwZ15BbWU4MDY4NjE2Mjcx._V1_SX300.jpg,5.0,608,tt4836736,movie,32.80561721543963,21.43011468738439,4.4242497051886795,4084.7882450901247,63.839655072371016,21.930996045070764,#f6f6f2,#a2988b,#675d55,#2f2e2c,#0b0d10
Child 44,2015,R,17 Apr 2015,137 min,"Crime, Drama, History",Daniel Espinosa,"Richard Price, Tom Rob Smith, Johan Melin",https://m.media-amazon.com/images/M/MV5BMTk1NTkxOTc5Nl5BMl5BanBnXkFtZTgwODI0NTg0NDE@._V1_SX300.jpg,6.4,"71,111",tt1014763,movie,37.713417743779125,26.071024942114363,4.398692544843049,4339.60235652788,61.42931989033685,30.263505469004972,#9c191e,#72736d,#cbccbe,#2a2f33,#0c0f14
Real Cases of Shadow People: The Sarah McCormick Story,2019,Not Rated,01 Jan 2019,107 min,"Horror, Mystery, Thriller","Joseph Mazzaferro, Joseph Thomas","Joseph Mazzaferro, Joseph Thomas",https://m.media-amazon.com/images/M/MV5BYzIyYjhlZGYtNzA5YS00MGE1LWFjNmMtOWQ0ZGQ0MGFiYTgyXkEyXkFqcGdeQXVyMzEyMzg4MDc@._V1_SX300.jpg,4.2,"1,853",tt7200076,movie,6.903465179175118,58.40135789948163,4.830058369252874,7807.2720811954505,69.05667558265841,7.030524373114237,#8b8b85,#24241f,#bbbcb1,#565652,#dadace
Khatta Meetha,2010,Not Rated,23 Jul 2010,157 min,"Comedy, Crime, Drama",Priyadarshan,"Jay Master, Priyadarshan, Nitin Raikwar",https://m.media-amazon.com/images/M/MV5BMjE1NjI0MTUxMF5BMl5BanBnXkFtZTcwNjg3NDE3Mw@@._V1_SX300.jpg,5.8,"11,004",tt1455811,movie,53.93025511279781,67.82413782717389,4.888426939324117,4056.3886532353035,80.91547511508658,87.3663713012394,#cdb38e,#876c42,#f1eeec,#34120d,#f6d839
À l'aventure,2008,Not Rated,01 Apr 2009,104 min,"Drama, Fantasy, Romance",Jean-Claude Brisseau,Jean-Claude Brisseau,https://m.media-amazon.com/images/M/MV5BNjk1NjcyMjc4N15BMl5BanBnXkFtZTgwMDcyMjcwMzE@._V1_SX300.jpg,5.4,"2,130",tt1235552,movie,18.847035947712417,79.61393464052287,2.5422401041666665,2339.19085,79.74331944510044,37.21888778054477,#3d3a30,#c19d35,#bcb6a2,#070605,#f4f1e4
After Earth,2013,PG-13,31 May 2013,100 min,"Action, Adventure, Sci-Fi",M. Night Shyamalan,"Gary Whitta, M. Night Shyamalan, Will Smith",https://m.media-amazon.com/images/M/MV5BMTY3MzQyMjkwMl5BMl5BanBnXkFtZTcwMDk2OTE0OQ@@._V1_SX300.jpg,4.8,"200,661",tt1815862,movie,56.50896379525593,27.564018506278916,3.911244382022472,1735.245658202528,69.77009453333945,34.21142180500121,#eee8df,#b59076,#7a5b47,#322822,#040608
A Farewell to Jinu,2015,N/A,04 Apr 2015,121 min,Comedy,Suzuki Matsuo,"Mikio Igarashi, Suzuki Matsuo",https://m.media-amazon.com/images/M/MV5BNTljYjNkZDYtMjY5Ny00ZGYyLTkyY2QtZTQxOTVhMmVmY2UzXkEyXkFqcGdeQXVyMjExMzEyNTM@._V1_SX300.jpg,5.9,80,tt3721048,movie,51.46882276047674,69.20537024221453,5.122861274509804,10659.441520235232,75.26367078683153,90.33918350188537,#8f6e4e,#c0bdae,#191a1c,#ebf2eb,#178bc7
The Disappeared,2008,PG-13,08 Jun 2008,96 min,Documentary,Peter Sanders,N/A,https://m.media-amazon.com/images/M/MV5BMTQxMzg0NTQyMV5BMl5BanBnXkFtZTcwMDI5MTYzMg@@._V1_SX300.jpg,6.9,30,tt1366862,movie,29.31740024681201,39.72283620518915,2.7162495143745145,4588.674489064877,70.3294047410012,86.55235154054571,#c0a0a1,#703636,#fcf9f8,#c61e25,#221d1e
Now Add Honey,2015,N/A,05 Nov 2015,100 min,Comedy,Wayne Hope,Robyn Butler,https://m.media-amazon.com/images/M/MV5BMzQ4ODg4MTcwMl5BMl5BanBnXkFtZTgwNzc0MDA3NjE@._V1_SX300.jpg,4.6,815,tt2577854,movie,47.133241061130335,68.6794309880815,4.0027107843137255,3570.38211130925,76.04071557159442,89.24736717713004,#b49585,#f2e7d5,#7b3a55,#242227,#f1d15b
Silver Tongues,2011,Not Rated,18 Nov 2011,87 min,Drama,Simon Arthur,Simon Arthur,https://m.media-amazon.com/images/M/MV5BNzgxOTU0MTM4OF5BMl5BanBnXkFtZTcwNjI4MTU0NA@@._V1_SX300.jpg,6.7,745,tt1580021,movie,87.23287852775519,77.58373542965573,1.1581427611367128,740.9940860215054,30.137298707210473,105.39437212094657,#fef2f0,#801720,#faa6a3,#160102,#d2172f
Running Out Of Time,2018,TV-14,01 Sep 2018,87 min,Thriller,Chris Stokes,"Chaz Echols, Marques Houston, Chris Stokes",https://m.media-amazon.com/images/M/MV5BMDFkNmVkZGQtODk2YS00NWE4LWIzNmItNTUwMzI0NzJhNDI0XkEyXkFqcGdeQXVyMjQzNzk4OTg@._V1_SX300.jpg,4.3,493,tt8420952,movie,61.80590849673202,29.309176470588234,3.588206770833333,1797.0743582749305,58.80186049278767,30.347456996192033,#f1f3f5,#693838,#a08070,#273250,#0d102c
JT LeRoy,2018,R,26 Apr 2019,108 min,"Biography, Drama",Justin Kelly,"Savannah Knoop, Justin Kelly",https://m.media-amazon.com/images/M/MV5BMjIyNzkxNDQ0MV5BMl5BanBnXkFtZTgwNDAwNzQ3NzM@._V1_SX300.jpg,5.4,"2,506",tt5460522,movie,22.776331154684097,81.53703180827887,4.624229166666667,2728.4367431771657,53.55714709182914,45.75730341940923,#d07176,#5e5170,#7498b4,#c1c7d2,#f1ecf0
Adel Karam: Live from Beirut,2018,TV-MA,01 Mar 2018,59 min,Comedy,Mohamed Khalifa,N/A,https://m.media-amazon.com/images/M/MV5BY2E3OTRjMTgtNDI0ZS00ZjQ1LWI3MjQtM2JjNjc2NWU1YjE1XkEyXkFqcGdeQXVyNTg2NDkzNTE@._V1_SX300.jpg,5.3,151,tt8081748,movie,56.38009337068161,46.48303765950825,3.8332748015873017,2077.5871270385487,80.20372115453218,80.7137759442686,#f8ebe8,#7d1418,#ceaf53,#193a73,#1b1014
The Angriest Man in Brooklyn,2014,R,23 May 2014,83 min,"Comedy, Drama",Phil Alden Robinson,"Daniel Taplitz, Assi Dayan",https://m.media-amazon.com/images/M/MV5BMjAxMTU5Mjk4OF5BMl5BanBnXkFtZTgwMTM4NDQ3MTE@._V1_SX300.jpg,5.7,"22,516",tt1294970,movie,21.928822940587647,61.41641641641642,4.606308183183184,5921.611810529224,84.97947617599158,54.47783781419985,#de0f13,#b8adae,#6d6d72,#232429,#f2f2f4
